Poste,Quantite,Cout unitaire estime EUR,Source,Note
PCB Halo D85 assemble (JLCPCB 2 couches 1.6 mm masque noir mat assemblage 1 face),1,3.50,JLCPCB,"lot de 50 ; assemblage 1 face = pas de surcout double face ; ENIG en option pour un logo dore sur la face avant"
Composants de la BOM PCB (voir Halo_BOM.csv),1,5.50,LCSC via JLCPCB,"ESP32-C3 ~1.5 + 24 LED ~0.8 + USB-C 0.3 + reste ~1 ; lot de 50"
Coque arriere PETG translucide blanc (diffuseur du halo),1,1.20,impression 3D maison,"22 g plein, ~18 g imprimee ; les 5 mm de jour autour du PCB sont la surface lumineuse ; fichier 3d/Halo_coque.stl"
Pied PETG noir,1,1.60,impression 3D maison,"~40 g a 15 % de remplissage, le poids stabilise le support ; fichier 3d/Halo_pied.stl"
Pads silicone D10 autocollants,4,0.05,AliExpress,"sous le pied, 4 logements prevus"
Anneau aimante adhesif compatible MagSafe (option),1,1.00,AliExpress,"colle en face avant du PCB ; a proposer en option +5 EUR ou en v2"
Cable USB-C COUDE vers USB-C 1 m noir,1,1.20,AliExpress / Amazon,"prise coudee obligatoire : elle se loge dans le pied ; le client a deja un chargeur USB, ne pas fournir de bloc secteur"
Boite carton kraft 120x120x40,1,0.60,imprimeur actuel / Raja,"format lettre suivie ou Mondial Relay XS"
Notice A6 recto verso,1,0.10,imprimeur actuel,"reprend la trame de la notice AdhanBox"
Etiquette produit CE / DEEE / IDU,1,0.05,imprimeur actuel,"meme planche que les etiquettes AdhanBox"
TOTAL matiere,,14.95,,"a comparer aux 28.78 EUR de l AdhanBox ; sans l anneau aimante : 13.95 EUR"
